Term1	Term2	Correlation
goes	trouble	0.8989332
larger	true	0.8989332
lay	turn	0.8989332
loss	vast	0.8989332
mean	pang	0.8989332
ne'er	seed	0.8989332
prayer	saw	0.8989332
run	words	0.8989332
scarce	twould	0.8989332
scene	true	0.8989332
service	twould	0.8989332
sod	true	0.8989332
tomb	wife	0.8989332
took	waters	0.8987638
obtain	took	0.8987638
guess	waters	0.89871705
contented	show	0.89871705
end	quick	0.89871705
end	sunset	0.89871705
end	syllable	0.89871705
gather	slow	0.89871705
horizons	son	0.89871705
show	stirred	0.89871705
soft	son	0.89871705
bumble	jesus	0.89786196
escape	jesus	0.89786196
jesus	touched	0.89786196
erect	twas	0.8969221
gallant	twas	0.8969221
greedy	twas	0.8969221
laid	twas	0.8969221
nought	twas	0.8969221
perusal	twas	0.8969221
setting	twas	0.8969221
tenderly	twas	0.8969221
twas	woods	0.8969221
fingers	unknown	0.8962582
land	lit	0.8962582
autumn	lest	0.8955335
dew	hay	0.89553344
frost	green	0.89553344
adjust	dew	0.89553344
afflicts	frost	0.89553344
altered	grew	0.89553344
amplitude	grew	0.89553344
autumn	beholds	0.89553344
autumn	count	0.89553344
autumn	course	0.89553344
autumn	darker	0.89553344
autumn	dominion	0.89553344
autumn	dumb	0.89553344
autumn	fed	0.89553344
autumn	mystery	0.89553344
autumn	question	0.89553344
autumn	root	0.89553344
autumn	save	0.89553344
autumn	strong	0.89553344
autumn	takes	0.89553344
become	grew	0.89553344
belong	dew	0.89553344
bobolinks	shut	0.89553344
bonnets	shut	0.89553344
childhood	dew	0.89553344
clay	grew	0.89553344
defrauded	shut	0.89553344
detect	frost	0.89553344
dew	forevermore	0.89553344
dew	helped	0.89553344
dew	landscape	0.89553344
dew	mechlin	0.89553344
dew	steals	0.89553344
equal	shut	0.89553344
fine	frost	0.89553344
flutter	shut	0.89553344
friends	grew	0.89553344
frost	holds	0.89553344
frost	interview	0.89553344
frost	inundation	0.89553344
frost	laws	0.89553344
frost	mountain	0.89553344
frost	passes	0.89553344
frost	rich	0.89553344
frost	rivet	0.89553344
frost	science	0.89553344
frost	shelf	0.89553344
frost	shows	0.89553344
grew	haunting	0.89553344
grew	rapture	0.89553344
grew	taught	0.89553344
grew	thirst	0.89553344
imperial	shut	0.89553344
invitation	shut	0.89553344
means	shut	0.89553344
negative	shut	0.89553344
person	shut	0.89553344
plan	shut	0.89553344
shut	speech	0.89553344
shut	spicy	0.89553344
shut	steal	0.89553344
shut	store	0.89553344
shut	visited	0.89553344
shut	whosoever	0.89553344
circuit	think	0.89541435
confident	look	0.89534324
night	sunrise	0.894825
abide	dews	0.8946751
abide	learn	0.8946751
abide	lies	0.8946751
abide	miracle	0.8946751
abode	april	0.8946751
abode	business	0.8946751
achieve	deep	0.8946751
achieve	hell	0.8946751
achieve	hymn	0.8946751
achieve	looked	0.8946751
acre	brook	0.8946751
acre	sealed	0.8946751
affair	dimly	0.8946751
affair	formula	0.8946751
afternoons	arctic	0.8946751
afternoons	bravest	0.8946751
afternoons	tremendous	0.8946751
amber	bumble	0.8946751
amber	different	0.8946751
amber	escape	0.8946751
amber	turns	0.8946751
anew	anguish	0.8946751
anew	firmament	0.8946751
anew	open	0.8946751
anew	suffice	0.8946751
apple	clause	0.8946751
apple	hinder	0.8946751
apple	mention	0.8946751
april	creature	0.8946751
april	girl	0.8946751
arctic	larger	0.8946751
arctic	sod	0.8946751
aware	led	0.8946751
aware	neighbor	0.8946751
berry	grows	0.8946751
berry	return	0.8946751
berry	worn	0.8946751
bloom	bumble	0.8946751
bloom	different	0.8946751
bloom	escape	0.8946751
bloom	turns	0.8946751
blush	word	0.8946751
brave	word	0.8946751
bravest	larger	0.8946751
bravest	sod	0.8946751
break	prospective	0.8946751
break	remorse	0.8946751
bumble	faint	0.8946751
business	creature	0.8946751
business	girl	0.8946751
carts	faint	0.8946751
circumference	dews	0.8946751
circumference	i'll	0.8946751
closed	stooping	0.8946751
clouds	lies	0.8946751
clouds	looked	0.8946751
clouds	stooping	0.8946751
color	scarce	0.8946751
color	seed	0.8946751
color	service	0.8946751
color	woe	0.8946751
constancy	letter	0.8946751
constancy	streets	0.8946751
constancy	thanksgiving	0.8946751
constancy	window	0.8946751
cricket	forgot	0.8946751
dare	dimly	0.8946751
dare	formula	0.8946751
decade	flown	0.8946751
decade	names	0.8946751
deem	open	0.8946751
deem	pang	0.8946751
deep	pools	0.8946751
definition	flown	0.8946751
definition	melody	0.8946751
definition	tenderer	0.8946751
dews	looking	0.8946751
dews	paused	0.8946751
dimly	scarce	0.8946751
doth	forgot	0.8946751
entire	flown	0.8946751
entire	melody	0.8946751
entire	tenderer	0.8946751
escape	faint	0.8946751
failed	vast	0.8946751
failed	wife	0.8946751
failed	woe	0.8946751
faint	stranger	0.8946751
faithful	help	0.8946751
feels	truth	0.8946751
flee	letter	0.8946751
flee	streets	0.8946751
flee	window	0.8946751
floods	miracle	0.8946751
flown	hair	0.8946751
flown	village	0.8946751
forgot	keeps	0.8946751
forgot	spice	0.8946751
formula	scarce	0.8946751
furthest	truth	0.8946751
garden	remorse	0.8946751
gate	touched	0.8946751
girl	size	0.8946751
golden	woman's	0.8946751
grant	seas	0.8946751
guessed	wandering	0.8946751
hair	names	0.8946751
hell	pools	0.8946751
help	letter	0.8946751
help	streets	0.8946751
help	window	0.8946751
hymn	pools	0.8946751
i'll	looking	0.8946751
i'll	paused	0.8946751
keeps	wandering	0.8946751
knowing	toil	0.8946751
larger	remorse	0.8946751
larger	tremendous	0.8946751
letter	passing	0.8946751
lies	wherefore	0.8946751
looked	pools	0.8946751
looked	wherefore	0.8946751
melody	toil	0.8946751
miracle	plucking	0.8946751
miracle	pushed	0.8946751
names	village	0.8946751
names	woman's	0.8946751
pang	playing	0.8946751
passing	streets	0.8946751
passing	window	0.8946751
perceive	run	0.8946751
plain	prospective	0.8946751
plain	wandering	0.8946751
prospective	scene	0.8946751
remorse	scene	0.8946751
remorse	sod	0.8946751
ring	tenderer	0.8946751
ring	worn	0.8946751
run	yield	0.8946751
saw	taste	0.8946751
seas	seed	0.8946751
seas	wife	0.8946751
sod	tremendous	0.8946751
stooping	wherefore	0.8946751
tenderer	twill	0.8946751
twill	worn	0.8946751
boy	summer's	0.8940551
ear	side	0.89387304
hands	look	0.89341444
breaks	day	0.8926074
broke	day	0.8926074
day	shawl	0.8926074
glad	going	0.8926074
going	pink	0.8926074
going	warm	0.8926074
arctic	bees	0.8926074
bees	bravest	0.8926074
bees	tremendous	0.8926074
glad	left	0.8926074
good	patient	0.8926074
left	pink	0.8926074
left	warm	0.8926074
pray	ring	0.8926074
pray	twill	0.8926074
afternoons	bees	0.8924133
think	woe	0.8924013
face	obtain	0.891485
absolute	today	0.891485
elude	eye	0.891485
eye	feared	0.891485
hear	sorry	0.891485
astral	way	0.8913044
chose	way	0.8913044
cruising	way	0.8913044
making	way	0.8913044
pane	way	0.8913044
risk	way	0.8913044
scrutinize	way	0.8913044
shadows	way	0.8913044
tore	way	0.8913044
abroad	stir	0.8910421
born	bright	0.8907235
bright	nest	0.8907235
autumn	future	0.8902532
plain	twas	0.89017266
busy	words	0.8892973
choose	yesterday	0.8892973
everlasting	transport	0.8892973
mean	weary	0.8892973
night	unto	0.8891474
better	let	0.888986
better	trust	0.888986
adored	life	0.88841873
life	race	0.88841873
charge	said	0.8882348
evening	said	0.8882348
despair	turned	0.8882348
anguish	suspense	0.8882348
cold	cricket	0.8882348
cold	doth	0.8882348
cold	keeps	0.8882348
cold	spice	0.8882348
constancy	cool	0.8882348
constancy	ready	0.8882348
firmament	she's	0.8882348
flee	ready	0.8882348
forever	furthest	0.8882348
forever	vast	0.8882348
future	run	0.8882348
future	turn	0.8882348
glory	pang	0.8882348
goes	neighbors	0.8882348
help	ready	0.8882348
occasion	suspense	0.8882348
passing	ready	0.8882348
she's	suffice	0.8882348
she's	word	0.8882348
room	said	0.8877834
adored	day	0.8861975
day	race	0.8861975
beneath	snow	0.8861419
aware	second	0.88607764
blush	water	0.88607764
brave	water	0.88607764
circumference	joy	0.88607764
clouds	joy	0.88607764
color	despair	0.88607764
despair	truth	0.88607764
dimly	stir	0.88607764
faithful	finished	0.88607764
floods	joy	0.88607764
formula	stir	0.88607764
glad	late	0.88607764
joy	looking	0.88607764
joy	paused	0.88607764
joy	plucking	0.88607764
joy	pushed	0.88607764
joy	wherefore	0.88607764
late	pink	0.88607764
late	warm	0.88607764
playing	water	0.88607764
seas	stir	0.88607764
second	touched	0.88607764
makes	times	0.88596237
butterfly	knew	0.8849847
came	forgot	0.8849847
color	pit	0.8849847
dimly	pit	0.8849847
failed	pit	0.8849847
formula	pit	0.8849847
pit	seas	0.8849847
pit	truth	0.8849847
abide	balm	0.8849847
abode	begins	0.8849847
abode	clear	0.8849847
abode	rope	0.8849847
achieve	balm	0.8849847
anew	spell	0.8849847
aware	smaller	0.8849847
balm	circumference	0.8849847
balm	closed	0.8849847
balm	clouds	0.8849847
balm	dropped	0.8849847
balm	event	0.8849847
balm	floods	0.8849847
balm	looking	0.8849847
balm	paused	0.8849847
balm	plucking	0.8849847
balm	pools	0.8849847
balm	pushed	0.8849847
balm	smiling	0.8849847
balm	suppose	0.8849847
balm	wherefore	0.8849847
balm	wings	0.8849847
begins	creature	0.8849847
begins	crescent	0.8849847
begins	girl	0.8849847
begins	perennial	0.8849847
berry	magic	0.8849847
blush	spell	0.8849847
brave	spell	0.8849847
brook	smaller	0.8849847
clear	creature	0.8849847
clear	crescent	0.8849847
clear	girl	0.8849847
clear	perennial	0.8849847
color	oftener	0.8849847
color	secure	0.8849847
confident	smaller	0.8849847
creature	rope	0.8849847
crescent	rope	0.8849847
decade	magic	0.8849847
deem	spell	0.8849847
definition	magic	0.8849847
dimly	oftener	0.8849847
dimly	secure	0.8849847
dissolved	passion	0.8849847
dissolved	string	0.8849847
entire	magic	0.8849847
failed	oftener	0.8849847
failed	secure	0.8849847
formula	oftener	0.8849847
formula	secure	0.8849847
girl	rope	0.8849847
glad	passion	0.8849847
glad	string	0.8849847
hair	magic	0.8849847
magic	ring	0.8849847
magic	toil	0.8849847
magic	twill	0.8849847
magic	village	0.8849847
magic	woman's	0.8849847
oftener	seas	0.8849847
oftener	truth	0.8849847
passion	perceive	0.8849847
passion	pink	0.8849847
passion	secreted	0.8849847
passion	warm	0.8849847
passion	yield	0.8849847
patient	spell	0.8849847
perceive	string	0.8849847
perennial	rope	0.8849847
pink	string	0.8849847
playing	spell	0.8849847
sealed	smaller	0.8849847
seas	secure	0.8849847
secreted	string	0.8849847
secure	truth	0.8849847
smaller	taste	0.8849847
smaller	touched	0.8849847
spell	value	0.8849847
string	warm	0.8849847
string	yield	0.8849847
abide	audience	0.8849847
abide	drew	0.8849847
abide	features	0.8849847
abide	flying	0.8849847
abide	growth	0.8849847
abide	lifted	0.8849847
abide	opposing	0.8849847
abide	patience	0.8849847
abide	tooth	0.8849847
abode	bestow	0.8849847
abode	childish	0.8849847
abode	deeper	0.8849847
abode	deprived	0.8849847
abode	dost	0.8849847
abode	floss	0.8849847
abode	henceforth	0.8849847
abode	praise	0.8849847
abode	toils	0.8849847
abode	whoso	0.8849847
achieve	audience	0.8849847
achieve	drew	0.8849847
achieve	features	0.8849847
achieve	flying	0.8849847
achieve	growth	0.8849847
achieve	lifted	0.8849847
achieve	opposing	0.8849847
achieve	patience	0.8849847
achieve	tooth	0.8849847
adored	amended	0.8849847
adored	beating	0.8849847
adored	foliage	0.8849847
adored	homes	0.8849847
adored	lying	0.8849847
adored	proviso	0.8849847
adored	scan	0.8849847
adored	shorter	0.8849847
adored	treading	0.8849847
adored	write	0.8849847
affidavit	anew	0.8849847
affidavit	blush	0.8849847
affidavit	brave	0.8849847
affidavit	deem	0.8849847
affidavit	patient	0.8849847
affidavit	playing	0.8849847
affidavit	value	0.8849847
ajar	aware	0.8849847
ajar	brook	0.8849847
ajar	confident	0.8849847
ajar	sealed	0.8849847
ajar	taste	0.8849847
ajar	touched	0.8849847
amended	clause	0.8849847
amended	equally	0.8849847
amended	faithful	0.8849847
amended	hinder	0.8849847
amended	letter	0.8849847
amended	mention	0.8849847
amended	race	0.8849847
amended	streets	0.8849847
amended	thanksgiving	0.8849847
amended	used	0.8849847
amended	window	0.8849847
anew	drama	0.8849847
anew	farther	0.8849847
anew	freight	0.8849847
anew	leaped	0.8849847
anew	minutest	0.8849847
anew	pencil	0.8849847
anew	rule	0.8849847
anew	vital	0.8849847
anew	want	0.8849847
anew	was't	0.8849847
arctic	erect	0.8849847
arctic	gallant	0.8849847
arctic	greedy	0.8849847
arctic	laid	0.8849847
arctic	nought	0.8849847
arctic	perusal	0.8849847
arctic	setting	0.8849847
arctic	tenderly	0.8849847
arctic	woods	0.8849847
audience	circumference	0.8849847
audience	closed	0.8849847
audience	clouds	0.8849847
audience	dropped	0.8849847
audience	event	0.8849847
audience	floods	0.8849847
audience	looking	0.8849847
audience	paused	0.8849847
audience	plucking	0.8849847
audience	pools	0.8849847
audience	pushed	0.8849847
audience	smiling	0.8849847
audience	suppose	0.8849847
audience	wherefore	0.8849847
audience	wings	0.8849847
aware	beggar	0.8849847
aware	bulb	0.8849847
aware	failure	0.8849847
aware	followed	0.8849847
aware	giant	0.8849847
aware	gush	0.8849847
aware	mr	0.8849847
aware	presumed	0.8849847
aware	slowly	0.8849847
aware	started	0.8849847
aware	subtle	0.8849847
aware	who's	0.8849847
beating	clause	0.8849847
beating	equally	0.8849847
beating	faithful	0.8849847
beating	hinder	0.8849847
beating	letter	0.8849847
beating	mention	0.8849847
beating	race	0.8849847
beating	streets	0.8849847
beating	thanksgiving	0.8849847
beating	used	0.8849847
beating	window	0.8849847
beggar	brook	0.8849847
beggar	confident	0.8849847
beggar	sealed	0.8849847
beggar	taste	0.8849847
beggar	touched	0.8849847
beginning	color	0.8849847
beginning	dimly	0.8849847
beginning	failed	0.8849847
beginning	formula	0.8849847
beginning	seas	0.8849847
beginning	truth	0.8849847
berry	bye	0.8849847
berry	chase	0.8849847
berry	estates	0.8849847
berry	instructed	0.8849847
berry	largest	0.8849847
berry	medicine	0.8849847
berry	repine	0.8849847
berry	starved	0.8849847
berry	til	0.8849847
bestow	creature	0.8849847
bestow	crescent	0.8849847
bestow	girl	0.8849847
bestow	perennial	0.8849847
blush	drama	0.8849847
blush	farther	0.8849847
blush	freight	0.8849847
blush	leaped	0.8849847
blush	minutest	0.8849847
blush	pencil	0.8849847
blush	rule	0.8849847
blush	vital	0.8849847
blush	want	0.8849847
blush	was't	0.8849847
brave	drama	0.8849847
brave	farther	0.8849847
brave	freight	0.8849847
brave	leaped	0.8849847
brave	minutest	0.8849847
brave	pencil	0.8849847
brave	rule	0.8849847
brave	vital	0.8849847
brave	want	0.8849847
brave	was't	0.8849847
bravest	erect	0.8849847
bravest	gallant	0.8849847
bravest	greedy	0.8849847
bravest	laid	0.8849847
bravest	nought	0.8849847
bravest	perusal	0.8849847
bravest	setting	0.8849847
bravest	tenderly	0.8849847
bravest	woods	0.8849847
brook	bulb	0.8849847
brook	failure	0.8849847
brook	followed	0.8849847
brook	giant	0.8849847
brook	gush	0.8849847
brook	mr	0.8849847
brook	presumed	0.8849847
brook	slowly	0.8849847
brook	started	0.8849847
brook	subtle	0.8849847
brook	who's	0.8849847
bubble	dissolved	0.8849847
bubble	glad	0.8849847
bubble	perceive	0.8849847
bubble	pink	0.8849847
bubble	secreted	0.8849847
bubble	warm	0.8849847
bubble	yield	0.8849847
bulb	confident	0.8849847
bulb	sealed	0.8849847
bulb	taste	0.8849847
bulb	touched	0.8849847
bumble	church	0.8849847
bumble	comest	0.8849847
bumble	concern	0.8849847
bumble	dollie's	0.8849847
bumble	fences	0.8849847
bumble	gifts	0.8849847
bumble	places	0.8849847
bumble	shalt	0.8849847
bumble	smile	0.8849847
bumble	somebody	0.8849847
bumble	stanza	0.8849847
bumble	strove	0.8849847
bye	decade	0.8849847
bye	definition	0.8849847
bye	entire	0.8849847
bye	hair	0.8849847
bye	ring	0.8849847
bye	toil	0.8849847
bye	twill	0.8849847
bye	village	0.8849847
bye	woman's	0.8849847
carts	church	0.8849847
carts	comest	0.8849847
carts	concern	0.8849847
carts	dollie's	0.8849847
carts	fences	0.8849847
carts	gifts	0.8849847
carts	places	0.8849847
carts	shalt	0.8849847
carts	smile	0.8849847
carts	somebody	0.8849847
carts	stanza	0.8849847
carts	strove	0.8849847
ceased	dissolved	0.8849847
ceased	glad	0.8849847
ceased	perceive	0.8849847
ceased	pink	0.8849847
ceased	secreted	0.8849847
ceased	warm	0.8849847
ceased	yield	0.8849847
chase	decade	0.8849847
chase	definition	0.8849847
chase	entire	0.8849847
chase	hair	0.8849847
chase	ring	0.8849847
chase	toil	0.8849847
chase	twill	0.8849847
chase	village	0.8849847
chase	woman's	0.8849847
childish	creature	0.8849847
childish	crescent	0.8849847
childish	girl	0.8849847
childish	perennial	0.8849847
chill	color	0.8849847
chill	dimly	0.8849847
chill	failed	0.8849847
chill	formula	0.8849847
chill	seas	0.8849847
chill	truth	0.8849847
church	different	0.8849847
church	eden	0.8849847
church	escape	0.8849847
church	homesick	0.8849847
church	humming	0.8849847
church	ones	0.8849847
church	stranger	0.8849847
church	turns	0.8849847
circumference	drew	0.8849847
circumference	features	0.8849847
circumference	flying	0.8849847
circumference	growth	0.8849847
circumference	lifted	0.8849847
circumference	opposing	0.8849847
circumference	patience	0.8849847
circumference	tooth	0.8849847
clause	foliage	0.8849847
clause	homes	0.8849847
clause	lying	0.8849847
clause	proviso	0.8849847
clause	scan	0.8849847
clause	shorter	0.8849847
clause	treading	0.8849847
clause	write	0.8849847
closed	drew	0.8849847
closed	features	0.8849847
closed	flying	0.8849847
closed	growth	0.8849847
closed	lifted	0.8849847
closed	opposing	0.8849847
closed	patience	0.8849847
closed	tooth	0.8849847
clouds	drew	0.8849847
clouds	features	0.8849847
clouds	flying	0.8849847
clouds	growth	0.8849847
clouds	lifted	0.8849847
clouds	opposing	0.8849847
clouds	patience	0.8849847
clouds	tooth	0.8849847
color	ecstasy's	0.8849847
color	hated	0.8849847
color	impetus	0.8849847
color	lain	0.8849847
color	march	0.8849847
color	quality	0.8849847
color	stint	0.8849847
color	tradition	0.8849847
color	wish	0.8849847
comest	different	0.8849847
comest	eden	0.8849847
comest	escape	0.8849847
comest	homesick	0.8849847
comest	humming	0.8849847
comest	ones	0.8849847
comest	stranger	0.8849847
comest	turns	0.8849847
concern	different	0.8849847
concern	eden	0.8849847
concern	escape	0.8849847
concern	homesick	0.8849847
concern	humming	0.8849847
concern	ones	0.8849847
concern	stranger	0.8849847
concern	turns	0.8849847
confident	failure	0.8849847
confident	followed	0.8849847
confident	giant	0.8849847
confident	gush	0.8849847
confident	mr	0.8849847
confident	presumed	0.8849847
confident	slowly	0.8849847
confident	started	0.8849847
confident	subtle	0.8849847
confident	who's	0.8849847
creature	deeper	0.8849847
creature	deprived	0.8849847
creature	dost	0.8849847
creature	floss	0.8849847
creature	henceforth	0.8849847
creature	praise	0.8849847
creature	toils	0.8849847
creature	whoso	0.8849847
crescent	deeper	0.8849847
crescent	deprived	0.8849847
crescent	dost	0.8849847
crescent	floss	0.8849847
crescent	henceforth	0.8849847
crescent	praise	0.8849847
crescent	toils	0.8849847
crescent	whoso	0.8849847
decade	estates	0.8849847
decade	instructed	0.8849847
decade	largest	0.8849847
decade	medicine	0.8849847
decade	repine	0.8849847
decade	starved	0.8849847
decade	til	0.8849847
deem	drama	0.8849847
deem	farther	0.8849847
deem	freight	0.8849847
deem	leaped	0.8849847
deem	minutest	0.8849847
deem	pencil	0.8849847
deem	rule	0.8849847
deem	vital	0.8849847
deem	want	0.8849847
deem	was't	0.8849847
deeper	girl	0.8849847
deeper	perennial	0.8849847
definition	estates	0.8849847
definition	instructed	0.8849847
definition	largest	0.8849847
definition	medicine	0.8849847
definition	repine	0.8849847
definition	starved	0.8849847
definition	til	0.8849847
deprived	girl	0.8849847
deprived	perennial	0.8849847
developed	dissolved	0.8849847
developed	glad	0.8849847
developed	perceive	0.8849847
developed	pink	0.8849847
developed	secreted	0.8849847
developed	warm	0.8849847
developed	yield	0.8849847
different	dollie's	0.8849847
different	fences	0.8849847
different	gifts	0.8849847
different	places	0.8849847
different	shalt	0.8849847
different	smile	0.8849847
different	somebody	0.8849847
different	stanza	0.8849847
different	strove	0.8849847
dimly	ecstasy's	0.8849847
dimly	hated	0.8849847
dimly	impetus	0.8849847
dimly	lain	0.8849847
dimly	march	0.8849847
dimly	quality	0.8849847
dimly	stint	0.8849847
dimly	tradition	0.8849847
dimly	wish	0.8849847
dissolved	hasn't	0.8849847
dissolved	thousand	0.8849847
dollie's	eden	0.8849847
dollie's	escape	0.8849847
dollie's	homesick	0.8849847
dollie's	humming	0.8849847
dollie's	ones	0.8849847
dollie's	stranger	0.8849847
dollie's	turns	0.8849847
dost	girl	0.8849847
dost	perennial	0.8849847
drama	patient	0.8849847
drama	playing	0.8849847
drama	value	0.8849847
drew	dropped	0.8849847
drew	event	0.8849847
drew	floods	0.8849847
drew	looking	0.8849847
drew	paused	0.8849847
drew	plucking	0.8849847
drew	pools	0.8849847
drew	pushed	0.8849847
drew	smiling	0.8849847
drew	suppose	0.8849847
drew	wherefore	0.8849847
drew	wings	0.8849847
dropped	features	0.8849847
dropped	flying	0.8849847
dropped	growth	0.8849847
dropped	lifted	0.8849847
dropped	opposing	0.8849847
dropped	patience	0.8849847
dropped	tooth	0.8849847
ecstasy's	failed	0.8849847
ecstasy's	formula	0.8849847
ecstasy's	seas	0.8849847
ecstasy's	truth	0.8849847
eden	fences	0.8849847
eden	gifts	0.8849847
eden	places	0.8849847
eden	shalt	0.8849847
eden	smile	0.8849847
eden	somebody	0.8849847
eden	stanza	0.8849847
eden	strove	0.8849847
entire	estates	0.8849847
entire	instructed	0.8849847
entire	largest	0.8849847
entire	medicine	0.8849847
entire	repine	0.8849847
entire	starved	0.8849847
entire	til	0.8849847
equally	foliage	0.8849847
equally	homes	0.8849847
equally	lying	0.8849847
equally	proviso	0.8849847
equally	scan	0.8849847
equally	shorter	0.8849847
equally	treading	0.8849847
equally	write	0.8849847
erect	forgot	0.8849847
erect	prospective	0.8849847
erect	remorse	0.8849847
erect	tremendous	0.8849847
erect	wandering	0.8849847
escape	fences	0.8849847
escape	gifts	0.8849847
escape	places	0.8849847
escape	shalt	0.8849847
escape	smile	0.8849847
escape	somebody	0.8849847
escape	stanza	0.8849847
escape	strove	0.8849847
estates	hair	0.8849847
estates	ring	0.8849847
estates	toil	0.8849847
estates	twill	0.8849847
estates	village	0.8849847
estates	woman's	0.8849847
event	features	0.8849847
event	flying	0.8849847
event	growth	0.8849847
event	lifted	0.8849847
event	opposing	0.8849847
event	patience	0.8849847
event	tooth	0.8849847
failed	hated	0.8849847
failed	impetus	0.8849847
failed	lain	0.8849847
failed	march	0.8849847
failed	quality	0.8849847
failed	stint	0.8849847
failed	tradition	0.8849847
failed	wish	0.8849847
failure	sealed	0.8849847
failure	taste	0.8849847
failure	touched	0.8849847
faithful	foliage	0.8849847
faithful	homes	0.8849847
faithful	lying	0.8849847
faithful	proviso	0.8849847
faithful	scan	0.8849847
faithful	shorter	0.8849847
faithful	treading	0.8849847
faithful	write	0.8849847
farther	patient	0.8849847
farther	playing	0.8849847
farther	value	0.8849847
features	floods	0.8849847
features	looking	0.8849847
features	paused	0.8849847
features	plucking	0.8849847
features	pools	0.8849847
features	pushed	0.8849847
features	smiling	0.8849847
features	suppose	0.8849847
features	wherefore	0.8849847
features	wings	0.8849847
fences	homesick	0.8849847
fences	humming	0.8849847
fences	ones	0.8849847
fences	stranger	0.8849847
fences	turns	0.8849847
floods	flying	0.8849847
floods	growth	0.8849847
floods	lifted	0.8849847
floods	opposing	0.8849847
floods	patience	0.8849847
floods	tooth	0.8849847
floss	girl	0.8849847
floss	perennial	0.8849847
flying	looking	0.8849847
flying	paused	0.8849847
flying	plucking	0.8849847
flying	pools	0.8849847
flying	pushed	0.8849847
flying	smiling	0.8849847
flying	suppose	0.8849847
flying	wherefore	0.8849847
flying	wings	0.8849847
foliage	hinder	0.8849847
foliage	letter	0.8849847
foliage	mention	0.8849847
foliage	race	0.8849847
foliage	streets	0.8849847
foliage	thanksgiving	0.8849847
foliage	used	0.8849847
foliage	window	0.8849847
followed	sealed	0.8849847
followed	taste	0.8849847
followed	touched	0.8849847
forgot	gallant	0.8849847
forgot	greedy	0.8849847
forgot	laid	0.8849847
forgot	nought	0.8849847
forgot	perusal	0.8849847
forgot	setting	0.8849847
forgot	tenderly	0.8849847
forgot	woods	0.8849847
formula	hated	0.8849847
formula	impetus	0.8849847
formula	lain	0.8849847
formula	march	0.8849847
formula	quality	0.8849847
formula	stint	0.8849847
formula	tradition	0.8849847
formula	wish	0.8849847
freight	patient	0.8849847
freight	playing	0.8849847
freight	value	0.8849847
gallant	prospective	0.8849847
gallant	remorse	0.8849847
gallant	tremendous	0.8849847
gallant	wandering	0.8849847
giant	sealed	0.8849847
giant	taste	0.8849847
giant	touched	0.8849847
gifts	homesick	0.8849847
gifts	humming	0.8849847
gifts	ones	0.8849847
gifts	stranger	0.8849847
gifts	turns	0.8849847
girl	henceforth	0.8849847
girl	praise	0.8849847
girl	toils	0.8849847
girl	whoso	0.8849847
glad	hasn't	0.8849847
glad	thousand	0.8849847
greedy	prospective	0.8849847
greedy	remorse	0.8849847
greedy	tremendous	0.8849847
greedy	wandering	0.8849847
growth	looking	0.8849847
growth	paused	0.8849847
growth	plucking	0.8849847
growth	pools	0.8849847
growth	pushed	0.8849847
growth	smiling	0.8849847
growth	suppose	0.8849847
growth	wherefore	0.8849847
growth	wings	0.8849847
gush	sealed	0.8849847
gush	taste	0.8849847
gush	touched	0.8849847
hair	instructed	0.8849847
hair	largest	0.8849847
hair	medicine	0.8849847
hair	repine	0.8849847
hair	starved	0.8849847
hair	til	0.8849847
hasn't	perceive	0.8849847
hasn't	pink	0.8849847
hasn't	secreted	0.8849847
hasn't	warm	0.8849847
hasn't	yield	0.8849847
hated	seas	0.8849847
hated	truth	0.8849847
henceforth	perennial	0.8849847
hinder	homes	0.8849847
hinder	lying	0.8849847
hinder	proviso	0.8849847
hinder	scan	0.8849847
hinder	shorter	0.8849847
hinder	treading	0.8849847
hinder	write	0.8849847
homes	letter	0.8849847
homes	mention	0.8849847
homes	race	0.8849847
homes	streets	0.8849847
homes	thanksgiving	0.8849847
homes	used	0.8849847
homes	window	0.8849847
homesick	places	0.8849847
homesick	shalt	0.8849847
homesick	smile	0.8849847
homesick	somebody	0.8849847
homesick	stanza	0.8849847
homesick	strove	0.8849847
humming	places	0.8849847
humming	shalt	0.8849847
humming	smile	0.8849847
humming	somebody	0.8849847
humming	stanza	0.8849847
humming	strove	0.8849847
impetus	seas	0.8849847
impetus	truth	0.8849847
instructed	ring	0.8849847
instructed	toil	0.8849847
instructed	twill	0.8849847
instructed	village	0.8849847
instructed	woman's	0.8849847
laid	prospective	0.8849847
laid	remorse	0.8849847
laid	tremendous	0.8849847
laid	wandering	0.8849847
lain	seas	0.8849847
lain	truth	0.8849847
largest	ring	0.8849847
largest	toil	0.8849847
largest	twill	0.8849847
largest	village	0.8849847
largest	woman's	0.8849847
leaped	patient	0.8849847
leaped	playing	0.8849847
leaped	value	0.8849847
letter	lying	0.8849847
letter	proviso	0.8849847
letter	scan	0.8849847
letter	shorter	0.8849847
letter	treading	0.8849847
letter	write	0.8849847
lifted	looking	0.8849847
lifted	paused	0.8849847
lifted	plucking	0.8849847
lifted	pools	0.8849847
lifted	pushed	0.8849847
lifted	smiling	0.8849847
lifted	suppose	0.8849847
lifted	wherefore	0.8849847
lifted	wings	0.8849847
looking	opposing	0.8849847
looking	patience	0.8849847
looking	tooth	0.8849847
